normalized_term,source_types,source_storefronts,source_platforms,source_record_counts,source_sweep_status,kickstart_rows,kickstart_current_ranks,kickstart_rank_trends,kickstart_difficulty_scores,kickstart_entry_barrier_scores,kickstart_evidence_window,apple_ads_query_countries,apple_ads_monthly_window,apple_ads_monthly_coverage,apple_ads_monthly_max_popularity_1to100,apple_ads_monthly_max_popularity_1to5,apple_ads_monthly_max_countries,apple_ads_monthly_max_genres,apple_ads_monthly_genres_reportable,apple_ads_monthly_reportable,apple_ads_weekly_window,apple_ads_weekly_coverage,apple_ads_weekly_max_popularity_1to100,apple_ads_weekly_max_popularity_1to5,apple_ads_weekly_max_countries,apple_ads_weekly_max_genres,apple_ads_weekly_genres_reportable,apple_ads_weekly_reportable,intent_fit_evidence,storefront_search_evidence,title_context,proposed_en_us_keyword_pack,proposed_pack_status,final_decision,rationale_caveat,evidence_date,source_artifacts
keychain card vault,Kickstart,US,iOS,Kickstart=1,not-source-current-pending,US/iOS:62,US/iOS=#2,US/iOS=#2->#2 (unchanged; 2026-08-01..2026-08-26),US/iOS=3/5,US/iOS=2/5,2026-08-01..2026-08-26,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Secure/offline card-vault intent; strong product fit,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,monitor,retain as a tracked signal without changing the proposed pack; rank or adjacent intent is informative but not a demand measure. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
keychainsafe,Kickstart,US;IN,iOS;macOS,Kickstart=3,not-source-current-pending,US/iOS:64;US/macOS:65;IN/iOS:63,US/iOS=#112;US/macOS=#8;IN/iOS=#1,US/iOS=#107->#112 (dropped; 2026-07-30..2026-08-26);US/macOS=#8->#8 (unchanged; 2026-07-30..2026-08-26);IN/iOS=#1->#1 (unchanged; 2026-07-30..2026-08-26),US/iOS=4/5;US/macOS=2/5;IN/iOS=1/5,US/iOS=4/5;US/macOS=1/5;IN/iOS=1/5,2026-07-30..2026-08-26,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart IN/iOS: Secure/offline card-vault intent; strong product fit;Kickstart US/iOS: Secure/offline card-vault intent; strong product fit;Kickstart US/macOS: Secure/offline card-vault intent; strong product fit,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,monitor,retain as a tracked signal without changing the proposed pack; rank or adjacent intent is informative but not a demand measure. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
kreditkarte sicher speichern,FR_DE_GB_search_candidate,DE,iOS,FR_DE_GB_search_candidate=1,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,DE intent=credit/debit/high; label=easy-demand-unknown,DE public supply=1; difficulty=0; barrier=0; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,localized-test-after-native-review,"relevant localized storage or card workflow candidate, but the machine-assisted phrasing needs native review and sparse supply is not demand. DE public supply=1; difficulty=0; barrier=0; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;europe/keyword-matrix.csv
kreditkarte speichern,Kickstart,DE,iOS,Kickstart=1,not-source-current-pending,DE/iOS:66,DE/iOS=unranked,DE/iOS=no rank history,DE/iOS=1/5,DE/iOS=1/5,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart DE/iOS: German credit-card storage intent,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,localized-test-after-native-review,"relevant localized storage or card workflow candidate, but the machine-assisted phrasing needs native review and sparse supply is not demand. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
local card storage,US_search_candidate,US,iOS,US_search_candidate=1,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,US search=privacy_offline/high; role=direct,US public supply=48; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,keyword-test,"plausible future discovery candidate with product fit, but current evidence is not enough to add it to the full 99-byte pack. US public supply=48; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;us/query-matrix.json
local card vault,Kickstart,US,iOS,Kickstart=1,not-source-current-pending,US/iOS:67,US/iOS=unranked,US/iOS=no rank history,US/iOS=4/5,US/iOS=4/5,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Card-vault/storage intent; strong product fit,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,keyword-test,"plausible future discovery candidate with product fit, but current evidence is not enough to add it to the full 99-byte pack. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
loyalty,current_pending_en-US,US,iOS,current_pending_en-US=1,source-current-pending-en-US,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,source current pending en-US keyword field,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",in-proposed-pack,keyword-keep,fits the proposed token pack and Holder’s supported card-storage story; missing popularity is not zero demand. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json
loyalty card organizer,IN_CA_AU_search_candidate,IN;CA;AU,iOS,IN_CA_AU_search_candidate=3,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,"AU intent=Adjacent supported storage, but loyalty-program and pass intent dominates; label=Qualified easy;CA intent=Adjacent supported storage, but loyalty-program and pass intent dominates; label=Test;IN intent=Adjacent supported storage, but loyalty-program and pass intent dominates; label=Test",AU public supply=186; public_pos=unranked; difficulty=32; barrier=16; Holder=not ranked;CA public supply=185; public_pos=unranked; difficulty=34; barrier=41; Holder=not ranked;IN public supply=186; public_pos=unranked; difficulty=24; barrier=0; Holder=not ranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,monitor,retain as a tracked signal without changing the proposed pack; rank or adjacent intent is informative but not a demand measure. IN public supply=186; public_pos=unranked; difficulty=24; barrier=0; Holder=not ranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,anglo-india/raw-query-matrix.csv;apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json
loyalty card vault,Kickstart,US,iOS,Kickstart=1,not-source-current-pending,US/iOS:68,US/iOS=#115,US/iOS=#115->#115 (unchanged; 2026-08-01..2026-08-26),US/iOS=3/5,US/iOS=3/5,2026-08-01..2026-08-26,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Card/document-type storage intent; adjacent to core vault,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,monitor,retain as a tracked signal without changing the proposed pack; rank or adjacent intent is informative but not a demand measure. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
loyalty card wallet,US_search_candidate,US,iOS,US_search_candidate=1,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,GB intent=membership/loyalty/medium; label=reject;US search=id_membership_loyalty/medium; role=adjacent,GB public supply=192; difficulty=57; barrier=19; Holder=unranked;US public supply=49; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,monitor,retain as a tracked signal without changing the proposed pack; rank or adjacent intent is informative but not a demand measure. US public supply=49; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;europe/keyword-matrix.csv;us/query-matrix.json
manage card details,US_search_candidate,US,iOS,US_search_candidate=1,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,US search=core_job/high; role=direct,US public supply=39; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,keyword-test,"plausible future discovery candidate with product fit, but current evidence is not enough to add it to the full 99-byte pack. US public supply=39; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;us/query-matrix.json
manager,Kickstart,US,iOS,Kickstart=1,not-source-current-pending,US/iOS:69,US/iOS=unranked,US/iOS=no rank history,US/iOS=4/5,US/iOS=5/5,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Broad or ambiguous single-term intent,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,reject,"broad password-manager, finance, or wallet discovery is not Holder’s focused card-vault job. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
membership,current_pending_en-US,US,iOS,current_pending_en-US=1,source-current-pending-en-US,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,source current pending en-US keyword field,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",in-proposed-pack,keyword-keep,fits the proposed token pack and Holder’s supported card-storage story; missing popularity is not zero demand. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json
membership card organizer,IN_CA_AU_search_candidate,IN;CA;AU,iOS,IN_CA_AU_search_candidate=3,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,"AU intent=Adjacent supported storage, but loyalty, pass, and branded-membership intent dominates; label=Qualified easy;CA intent=Adjacent supported storage, but loyalty, pass, and branded-membership intent dominates; label=Defer;IN intent=Adjacent supported storage, but loyalty, pass, and branded-membership intent dominates; label=Defer",AU public supply=168; public_pos=unranked; difficulty=34; barrier=18; Holder=not ranked;CA public supply=174; public_pos=unranked; difficulty=35; barrier=56; Holder=not ranked;IN public supply=55; public_pos=unranked; difficulty=42; barrier=0; Holder=not ranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,monitor,retain as a tracked signal without changing the proposed pack; rank or adjacent intent is informative but not a demand measure. IN public supply=55; public_pos=unranked; difficulty=42; barrier=0; Holder=not ranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,anglo-india/raw-query-matrix.csv;apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json
membership card storage,Kickstart,US,iOS,Kickstart=1,not-source-current-pending,US/iOS:70,US/iOS=#105,US/iOS=#104->#105 (dropped; 2026-08-01..2026-08-26),US/iOS=4/5,US/iOS=1/5,2026-08-01..2026-08-26,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Card/document-type storage intent; adjacent to core vault,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,monitor,retain as a tracked signal without changing the proposed pack; rank or adjacent intent is informative but not a demand measure. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
membership card vault,Kickstart,US,iOS,Kickstart=1,not-source-current-pending,US/iOS:71,US/iOS=#125,US/iOS=#125->#125 (unchanged; 2026-08-01..2026-08-26),US/iOS=3/5,US/iOS=3/5,2026-08-01..2026-08-26,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Card/document-type storage intent; adjacent to core vault,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,monitor,retain as a tracked signal without changing the proposed pack; rank or adjacent intent is informative but not a demand measure. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
membership card wallet,US_search_candidate,US,iOS,US_search_candidate=1,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,GB intent=membership/loyalty/medium; label=reject;US search=id_membership_loyalty/medium; role=adjacent,GB public supply=176; difficulty=44; barrier=17; Holder=unranked;US public supply=50; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,monitor,retain as a tracked signal without changing the proposed pack; rank or adjacent intent is informative but not a demand measure. US public supply=50; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;europe/keyword-matrix.csv;us/query-matrix.json
mitgliederkarte speichern,FR_DE_GB_search_candidate,DE,iOS,FR_DE_GB_search_candidate=1,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,DE intent=membership/loyalty/medium; label=easy-demand-unknown,DE public supply=2; difficulty=0; barrier=0; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,localized-test-after-native-review,"relevant localized storage or card workflow candidate, but the machine-assisted phrasing needs native review and sparse supply is not demand. DE public supply=2; difficulty=0; barrier=0; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;europe/keyword-matrix.csv
no account card wallet,US_search_candidate,US,iOS,US_search_candidate=1,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,US search=privacy_offline/high; role=direct,US public supply=49; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,keyword-test,"plausible future discovery candidate with product fit, but current evidence is not enough to add it to the full 99-byte pack. US public supply=49; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;us/query-matrix.json
no bank link wallet,US_search_candidate,US,iOS,US_search_candidate=1,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,US search=privacy_offline/high; role=direct,US public supply=46; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,keyword-test,"plausible future discovery candidate with product fit, but current evidence is not enough to add it to the full 99-byte pack. US public supply=46; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;us/query-matrix.json
offline card keeper,Kickstart,US,iOS,Kickstart=1,not-source-current-pending,US/iOS:72,US/iOS=#7,US/iOS=#10->#7 (improved; 2026-08-01..2026-08-26),US/iOS=4/5,US/iOS=4/5,2026-08-01..2026-08-26,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Secure/offline card-vault intent; strong product fit,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,monitor,retain as a tracked signal without changing the proposed pack; rank or adjacent intent is informative but not a demand measure. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
